#This file contains dummy instrument response data for IceCube-86, 
#copied from the corresponding IC22 file.  Do not use this file
#for spectral analysis of IceCube-86 data or predictions.
#
####
H  0
E  1.6  1.8
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.642857
h  4  11  0.285714
h  5  12  0
h  6  13  0.0714286
h  7  14  0
h  8  15  0
h  9  16  0
h  10  17  0
h  11  18  0
h  12  19  0
h  13  20  0
h  14  21  0
h  15  22  0
h  16  23  0
h  17  24  0
h  18  25  0
h  19  26  0
####
H  1
E  1.8  2
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.400373
h  4  11  0.3026
h  5  12  0.154703
h  6  13  0.0841585
h  7  14  0.0358911
h  8  15  0.0148515
h  9  16  0.00371287
h  10  17  0.00309406
h  11  18  0
h  12  19  0.000618812
h  13  20  0
h  14  21  0
h  15  22  0
h  16  23  0
h  17  24  0
h  18  25  0
h  19  26  0
####
H  2
E  2  2.2
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.27346
h  4  11  0.24195
h  5  12  0.183354
h  6  13  0.126202
h  7  14  0.0836525
h  8  15  0.0443311
h  9  16  0.0272611
h  10  17  0.0116348
h  11  18  0.00492569
h  12  19  0.00203822
h  13  20  0.000764331
h  14  21  0.000254777
h  15  22  8.49257e-05
h  16  23  8.49257e-05
h  17  24  0
h  18  25  0
h  19  26  0
####
H  3
E  2.2  2.4
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.181538
h  4  11  0.19398
h  5  12  0.171133
h  6  13  0.142065
h  7  14  0.108439
h  8  15  0.0756612
h  9  16  0.052255
h  10  17  0.0311461
h  11  18  0.0207763
h  12  19  0.0113695
h  13  20  0.00514777
h  14  21  0.00337012
h  15  22  0.00185171
h  16  23  0.000814754
h  17  24  0.000333309
h  18  25  0.000111103
h  19  26  0
####
H  4
E  2.4  2.6
h  0  7  0
h  1  8  0
h  2  9  2.89076e-05
h  3  10  0.142604
h  4  11  0.155266
h  5  12  0.15278
h  6  13  0.1398
h  7  14  0.116269
h  8  15  0.0894417
h  9  16  0.0671824
h  10  17  0.047756
h  11  18  0.033273
h  12  19  0.02223
h  13  20  0.014367
h  14  21  0.00875901
h  15  22  0.00471194
h  16  23  0.00277513
h  17  24  0.00164773
h  18  25  0.0011274
h  19  26  0
####
H  5
E  2.6  2.8
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.118139
h  4  11  0.137679
h  5  12  0.139591
h  6  13  0.126833
h  7  14  0.113688
h  8  15  0.092953
h  9  16  0.0744593
h  10  17  0.0584448
h  11  18  0.0420105
h  12  19  0.0317017
h  13  20  0.0220509
h  14  21  0.0159257
h  15  22  0.0107566
h  16  23  0.00741005
h  17  24  0.00525875
h  18  25  0.00307757
h  19  26  0
####
H  6
E  2.8  3
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.107434
h  4  11  0.120565
h  5  12  0.128133
h  6  13  0.122984
h  7  14  0.111684
h  8  15  0.0929895
h  9  16  0.0766101
h  10  17  0.0606799
h  11  18  0.0484126
h  12  19  0.0379076
h  13  20  0.0290268
h  14  21  0.0201114
h  15  22  0.0168977
h  16  23  0.0121981
h  17  24  0.00867341
h  18  25  0.00570164
h  19  26  0
####
H  7
E  3  3.2
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.0909159
h  4  11  0.108938
h  5  12  0.115393
h  6  13  0.119473
