#This file contains the following instrument response data for IceCube-79 WH data sample:
# 1. Histograms of Nchan response distributions for muon energy 
#    intervals of log10(E) = 0.2;
#    Nchan values are corrected for the higher photocathode density within DeepCore 
#
#All histograms are normalized to 1.  The file has the following column content:
#H [Histogram number]
#E [log10(E_nu); lower bound]  [log10(E_nu); upper bound]
#h [Histogram bin]   [Nchan]   [Bin content]
#
####
H  4
E  1.4  1.6
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  0.0164779
h  8  8  0.0401648
h  9  9  0.038105
h  10  10  0.110196
h  11  11  0.193615
h  12  12  0.208033
h  13  13  0.116375
h  14  14  0.0957775
h  15  15  0.0628218
h  16  16  0.0422245
h  17  17  0.0205973
h  18  18  0.0123584
h  19  19  0.0102987
h  20  20  0.00720906
h  21  21  0.00411946
h  22  22  0.0030896
h  23  23  0.00205973
h  24  24  0.00514933
h  25  25  0
h  26  26  0.00205973
h  27  27  0.00205973
h  28  28  0
h  29  29  0.00205973
h  30  30  0.00102987
h  31  31  0
h  32  32  0.00102987
h  33  33  0
h  34  34  0
h  35  35  0
h  36  36  0
h  37  37  0
h  38  38  0
h  39  39  0
h  40  40  0
h  41  41  0
h  42  42  0.00102987
h  43  43  0
h  44  44  0
h  45  45  0
h  46  46  0
h  47  47  0
h  48  48  0.00102987
h  49  49  0.00102987
h  50  50  0
h  51  51  0
h  52  52  0
h  53  53  0
h  54  54  0
h  55  55  0
h  56  56  0
h  57  57  0
h  58  58  0
h  59  59  0
h  60  60  0
h  61  61  0
h  62  62  0
h  63  63  0
h  64  64  0
h  65  65  0
h  66  66  0
h  67  67  0
h  68  68  0
h  69  69  0
h  70  70  0
h  71  71  0
h  72  72  0
h  73  73  0
h  74  74  0
h  75  75  0
h  76  76  0
h  77  77  0
h  78  78  0
h  79  79  0
h  80  80  0
h  81  81  0
h  82  82  0
h  83  83  0
h  84  84  0
h  85  85  0
h  86  86  0
h  87  87  0
h  88  88  0
h  89  89  0
h  90  90  0
h  91  91  0
h  92  92  0
h  93  93  0
h  94  94  0
h  95  95  0
h  96  96  0
h  97  97  0
h  98  98  0
h  99  99  0
####
H  5
E  1.6  1.8
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  0.00545227
h  8  8  0.0174294
h  9  9  0.0244011
h  10  10  0.0816947
h  11  11  0.140329
h  12  12  0.172506
h  13  13  0.146317
h  14  14  0.122095
h  15  15  0.0873257
h  16  16  0.0626564
h  17  17  0.0398641
h  18  18  0.0293171
h  19  19  0.0205577
h  20  20  0.0137647
h  21  21  0.00867
h  22  22  0.00741866
h  23  23  0.00375402
h  24  24  0.0033965
h  25  25  0.00223454
h  26  26  0.00151949
h  27  27  0.00151949
h  28  28  0.00169825
h  29  29  0.00134072
h  30  30  0.000983196
h  31  31  0.000536289
h  32  32  0.000268144
h  33  33  0.000536289
h  34  34  0.000357526
h  35  35  0.000446907
h  36  36  8.93815e-05
h  37  37  0.000268144
h  38  38  0.000536289
h  39  39  0
h  40  40  0
h  41  41  0
h  42  42  8.93815e-05
h  43  43  0
h  44  44  0
h  45  45  0
h  46  46  0
h  47  47  8.93815e-05
h  48  48  0
h  49  49  8.93815e-05
h  50  50  8.93815e-05
h  51  51  8.93815e-05
h  52  52  0
h  53  53  8.93815e-05
h  54  54  0
h  55  55  8.93815e-05
h  56  56  0
h  57  57  0
h  58  58  0
h  59  59  0
h  60  60  0
h  61  61  0
h  62  62  0
h  63  63  8.93815e-05
h  64  64  0
h  65  65  0
h  66  66  0
h  67  67  0
h  68  68  0
h  69  69  0
h  70  70  0
h  71  71  0
h  72  72  0
h  73  73  0
h  74  74  0
h  75  75  0
h  76  76  0
h  77  77  0
h  78  78  0
h  79  79  0
h  80  80  0
h  81  81  0
h  82  82  0
h  83  83  0
h  84  84  0
h  85  85  0
h  86  86  0
h  87  87  0
h  88  88  0
h  89  89  0
h  90  90  0
h  91  91  0
h  92  92  0
h  93  93  0
h  94  94  0
h  95  95  0
h  96  96  0
h  97  97  0
h  98  98  0
h  99  99  0
####
H  6
E  1.8  2
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  0.001205
h  8  8  0.00504833
h  9  9  0.00972881
h  10  10  0.0461453
h  11  11  0.09484
h  12  12  0.127718
h  13  13  0.128935
h  14  14  0.124077
h  15  15  0.108602
h  16  16  0.086164
h  17  17  0.0671884
h  18  18  0.0485806
h  19  19  0.0379893
h  20  20  0.0287679
h  21  21  0.0207895
h  22  22  0.0150942
h  23  23  0.0111875
h  24  24  0.00863797
h  25  25  0.00643091
h  26  26  0.00492148
h  27  27  0.00336132
h  28  28  0.00293006
h  29  29  0.00214364
h  30  30  0.00194069
h  31  31  0.00126842
h  32  32  0.001205
h  33  33  0.000900581
h  34  34  0.000786423
h  35  35  0.000697633
h  36  36  0.00032979
h  37  37  0.000443948
h  38  38  0.000317106
h  39  39  0.000304422
h  40  40  0.000164895
h  41  41  0.000164895
h  42  42  0.000101474
h  43  43  0.000152211
h  44  44  0.000101474
h  45  45  5.0737e-05
h  46  46  0.000101474
h  47  47  7.61054e-05
h  48  48  5.0737e-05
h  49  49  3.80527e-05
h  50  50  5.0737e-05
h  51  51  5.0737e-05
h  52  52  5.0737e-05
h  53  53  1.26842e-05
h  54  54  0
h  55  55  3.80527e-05
h  56  56  1.26842e-05
h  57  57  2.53685e-05
h  58  58  2.53685e-05
h  59  59  0
h  60  60  1.26842e-05
h  61  61  0
h  62  62  0
h  63  63  0
h  64  64  1.26842e-05
h  65  65  0
h  66  66  0
h  67  67  0
h  68  68  0
h  69  69  0
h  70  70  1.26842e-05
h  71  71  0
h  72  72  0
h  73  73  0
h  74  74  0
h  75  75  0
h  76  76  0
h  77  77  0
h  78  78  0
h  79  79  0
h  80  80  1.26842e-05
h  81  81  0
h  82  82  0
h  83  83  0
h  84  84  0
h  85  85  0
h  86  86  0
h  87  87  0
h  88  88  0
h  89  89  0
h  90  90  0
h  91  91  0
h  92  92  0
h  93  93  0
h  94  94  0
h  95  95  0
h  96  96  0
h  97  97  0
h  98  98  0
h  99  99  0
####
H  7
E  2  2.2
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  0.000197521
h  8  8  0.0012459
h  9  9  0.00317554
h  10  10  0.0180656
h  11  11  0.0438092
h  12  12  0.0728702
h  13  13  0.0898672
h  14  14  0.10069
h  15  15  0.100604
h  16  16  0.0952407
h  17  17  0.0837896
h  18  18  0.0733159
h  19  19  0.062042
h  20  20  0.0510821
h  21  21  0.0424114
h  22  22  0.0343434
h  23  23  0.0268629
h  24  24  0.0215653
h  25  25  0.0169261
h  26  26  0.0125148
h  27  27  0.0100027
h  28  28  0.00777424
