#This file contains the following instrument response data for IceCube-79 WL data sample:
# 1. Histograms of Nchan response distributions for muon energy 
#    intervals of log10(E) = 0.2;
#    Nchan values are corrected for the higher photocathode density within DeepCore 
#
#All histograms are normalized to 1.  The file has the following column content:
#H [Histogram number]
#E [log10(E_nu); lower bound]  [log10(E_nu); upper bound]
#h [Histogram bin]   [Nchan]   [Bin content]
#
####
H  0
E  0.6  0.8
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0.0165939
h  4  4  0.0445415
h  5  5  0.147598
h  6  6  0.270742
h  7  7  0.199127
h  8  8  0.113537
h  9  9  0.0751092
h  10  10  0.0672489
h  11  11  0.0305677
h  12  12  0.0174672
h  13  13  0.0104803
h  14  14  0.00436681
h  15  15  0.00174672
h  16  16  0.000873362
h  17  17  0
h  18  18  0
h  19  19  0
h  20  20  0
h  21  21  0
h  22  22  0
h  23  23  0
h  24  24  0
h  25  25  0
h  26  26  0
h  27  27  0
h  28  28  0
h  29  29  0
h  30  30  0
h  31  31  0
h  32  32  0
h  33  33  0
h  34  34  0
h  35  35  0
h  36  36  0
h  37  37  0
h  38  38  0
h  39  39  0
h  40  40  0
h  41  41  0
h  42  42  0
h  43  43  0
h  44  44  0
h  45  45  0
h  46  46  0
h  47  47  0
h  48  48  0
h  49  49  0
h  50  50  0
h  51  51  0
h  52  52  0
h  53  53  0
h  54  54  0
h  55  55  0
h  56  56  0
h  57  57  0
h  58  58  0
h  59  59  0
h  60  60  0
h  61  61  0
h  62  62  0
h  63  63  0
h  64  64  0
h  65  65  0
h  66  66  0
h  67  67  0
h  68  68  0
h  69  69  0
h  70  70  0
h  71  71  0
h  72  72  0
h  73  73  0
h  74  74  0
h  75  75  0
h  76  76  0
h  77  77  0
h  78  78  0
h  79  79  0
h  80  80  0
h  81  81  0
h  82  82  0
h  83  83  0
h  84  84  0
h  85  85  0
h  86  86  0
h  87  87  0
h  88  88  0
h  89  89  0
h  90  90  0
h  91  91  0
h  92  92  0
h  93  93  0
h  94  94  0
h  95  95  0
h  96  96  0
h  97  97  0
h  98  98  0
h  99  99  0
####
H  1
E  0.8  1
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0.0271003
h  4  4  0.0452962
h  5  5  0.158343
h  6  6  0.3012
h  7  7  0.202478
h  8  8  0.106465
h  9  9  0.0638792
h  10  10  0.0387147
h  11  11  0.0305846
h  12  12  0.0135501
h  13  13  0.00774293
h  14  14  0.00387147
h  15  15  0.000774293
h  16  16  0
h  17  17  0
h  18  18  0
h  19  19  0
h  20  20  0
h  21  21  0
h  22  22  0
h  23  23  0
h  24  24  0
h  25  25  0
h  26  26  0
h  27  27  0
h  28  28  0
h  29  29  0
h  30  30  0
h  31  31  0
h  32  32  0
h  33  33  0
h  34  34  0
h  35  35  0
h  36  36  0
h  37  37  0
h  38  38  0
h  39  39  0
h  40  40  0
h  41  41  0
h  42  42  0
h  43  43  0
h  44  44  0
h  45  45  0
h  46  46  0
h  47  47  0
h  48  48  0
h  49  49  0
h  50  50  0
h  51  51  0
h  52  52  0
h  53  53  0
h  54  54  0
h  55  55  0
h  56  56  0
h  57  57  0
h  58  58  0
h  59  59  0
h  60  60  0
h  61  61  0
h  62  62  0
h  63  63  0
h  64  64  0
h  65  65  0
h  66  66  0
h  67  67  0
h  68  68  0
h  69  69  0
h  70  70  0
h  71  71  0
h  72  72  0
h  73  73  0
h  74  74  0
h  75  75  0
h  76  76  0
h  77  77  0
h  78  78  0
h  79  79  0
h  80  80  0
h  81  81  0
h  82  82  0
h  83  83  0
h  84  84  0
h  85  85  0
h  86  86  0
h  87  87  0
h  88  88  0
h  89  89  0
h  90  90  0
h  91  91  0
h  92  92  0
h  93  93  0
h  94  94  0
h  95  95  0
h  96  96  0
h  97  97  0
h  98  98  0
h  99  99  0
####
H  2
E  1  1.2
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0.0123369
h  4  4  0.0354509
h  5  5  0.175411
h  6  6  0.340187
h  7  7  0.211146
h  8  8  0.0920306
h  9  9  0.0578559
h  10  10  0.036869
h  11  11  0.0221214
h  12  12  0.00779921
h  13  13  0.00510493
h  14  14  0.00255247
h  15  15  0.00113443
h  16  16  0
h  17  17  0
h  18  18  0
h  19  19  0
h  20  20  0
h  21  21  0
h  22  22  0
h  23  23  0
h  24  24  0
h  25  25  0
h  26  26  0
h  27  27  0
h  28  28  0
h  29  29  0
h  30  30  0
h  31  31  0
h  32  32  0
h  33  33  0
h  34  34  0
h  35  35  0
h  36  36  0
h  37  37  0
h  38  38  0
h  39  39  0
h  40  40  0
h  41  41  0
h  42  42  0
h  43  43  0
h  44  44  0
h  45  45  0
h  46  46  0
h  47  47  0
h  48  48  0
h  49  49  0
h  50  50  0
h  51  51  0
h  52  52  0
h  53  53  0
h  54  54  0
h  55  55  0
h  56  56  0
h  57  57  0
h  58  58  0
h  59  59  0
h  60  60  0
h  61  61  0
h  62  62  0
h  63  63  0
h  64  64  0
h  65  65  0
h  66  66  0
h  67  67  0
h  68  68  0
h  69  69  0
h  70  70  0
h  71  71  0
h  72  72  0
h  73  73  0
h  74  74  0
h  75  75  0
h  76  76  0
h  77  77  0
h  78  78  0
h  79  79  0
h  80  80  0
h  81  81  0
h  82  82  0
h  83  83  0
h  84  84  0
h  85  85  0
h  86  86  0
h  87  87  0
h  88  88  0
h  89  89  0
h  90  90  0
h  91  91  0
h  92  92  0
h  93  93  0
h  94  94  0
h  95  95  0
h  96  96  0
h  97  97  0
h  98  98  0
h  99  99  0
####
H  3
E  1.2  1.4
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0.00322613
h  4  4  0.0117451
h  5  5  0.114729
h  6  6  0.274877
h  7  7  0.261821
h  8  8  0.138925
h  9  9  0.0960278
h  10  10  0.0508116
h  11  11  0.0274725
h  12  12  0.0110394
h  13  13  0.00534328
h  14  14  0.00257082
h  15  15  0.000957758
h  16  16  0.000403266
h  17  17  5.04083e-05
h  18  18  0
h  19  19  0
h  20  20  0
h  21  21  0
h  22  22  0
h  23  23  0
h  24  24  0
h  25  25  0
h  26  26  0
h  27  27  0
h  28  28  0
h  29  29  0
h  30  30  0
h  31  31  0
h  32  32  0
h  33  33  0
h  34  34  0
h  35  35  0
h  36  36  0
h  37  37  0
h  38  38  0
h  39  39  0
h  40  40  0
h  41  41  0
h  42  42  0
h  43  43  0
h  44  44  0
h  45  45  0
h  46  46  0
h  47  47  0
h  48  48  0
h  49  49  0
h  50  50  0
h  51  51  0
h  52  52  0
h  53  53  0
h  54  54  0
h  55  55  0
h  56  56  0
h  57  57  0
h  58  58  0
h  59  59  0
h  60  60  0
h  61  61  0
h  62  62  0
h  63  63  0
h  64  64  0
h  65  65  0
h  66  66  0
h  67  67  0
h  68  68  0
h  69  69  0
h  70  70  0
h  71  71  0
h  72  72  0
h  73  73  0
h  74  74  0
h  75  75  0
h  76  76  0
h  77  77  0
h  78  78  0
